SFFR Video Site UTMs,,,,,,,
River mile location,Field data code,UTM (NAD 27),,,Elevation,Rank,
,,Zone,Northing,Easting,,,
SFFR above Little Grass Valley Reservoir,,,,,,,
SFFR-34.1,UPSF6,10S,676305,4403907,NA,L,
SFFR-33.3,UPSF5,10S,675617,4402982,NA,M,
SFFR-32.9,UPSF4,10S,675306,4402610,NA,L/M,
SFFR-32.8,UPSF3,10S,675094,4402491,NA,L/M,
SFFR-32.5,UPSF2,10S,674893,4402245,NA,L/M,
SFFR-32.1,UPSF1,10S,674378,4401754,NA,L,
Little Grass Valley Dam Reach,,,,,,,
SFFR-27.7,LGV8,10S,668809,4398802,NA,M-H,
SFFR-27.5,LGV7,10S,668626,4398618,NA,M-H,
SFFR-26.6,LGV6,10S,667758,4397879,NA,M,
SFFR-24.4,LGV5,10S,666192,4395585,NA,M,
SFFR-23.0,LGV4,10S,665354,4393950,NA,-,
SFFR-21.3,LGV3,10S,663463,4393071,NA,M,
SFFR-21.1,LGV2,10S,663219,4392890,NA,L,
SFFR-20.7,LGV1,10S,662823,4392487,NA,L,
South Fork Diversion Dam Reach,,,,,,,
SFFR-17.9,SFD8,10S,661727,4389816,NA,H,
SFFR-15.3,SFD7,10S,659820,4387346,NA,M,
SFFR-15.1,SFD6,10S,659535,4387233,NA,L/M,
SFFR-14.6,SFD5,10S,659205,4386584,NA,L,
SFFR-14,SFD4,10S,658649,4385965,NA,M,
SFFR-13.9,SFD3,10S,658615,4385816,NA,C,
SFFR-13.1,SFD2,10S,658368,4385106,NA,L,
SFFR/Lost Creek Reach,,,,,,,
SFFR-11.2,SFD1,10S,657002,4383008,NA,L/M,
SFFR-7.8,WPH1,10S,654260,4379622,1819,,
Forbestown Diversion Dam Reach,,,,,,,
SFFR-7.2,FOR19,10S,653216,4379169,1132,H,
SFFR-6.8,FOR18,10S,652936,4379175,1673,M/H,
SFFR-6.7,FOR17,10S,652688,4379037,1650,L,
SFFR-6.4,FOR16,10S,652344,4378824,1635,M,
SFFR-6.1,FOR15,10S,651897,4378927,1553,M,
SFFR-5.7,FOR14,10S,651446,4378905,1503,M,
SFFR-5.4,FOR13,10S,650936,4378800,1358,M/H,
SFFR-5.0,FOR12,10S,650916,4378404,1432,L/M,
SFFR-4.4,FOR11,10S,650108,4378007,1481,L,
SFFR-4.2,FOR10,10S,649822,4377807,1312,M,
SFFR-4.1,FOR9,10S,649685,4377732,1287,M,
SFFR-3.7,FOR7,10S,649396,4378027,1207,H,
SFFR-3.3,FOR6,10S,649340,4378442,1224,M,
SFFR-2.8,FOR5,10S,648801,4378407,1125,-,
SFFR-2.5,FOR4,10S,648748,4378678,1139,L/M,
SFFR-2.4,FOR3,10S,648416,4378644,1074,L,
SFFR-2.1,FOR2,10S,648156,4378869,1091,M,
SFFR-2,FOR1,10S,647926,4379029,1021,M,
Slate Creek Diversion Dam Reach,,,,,,,
SC-11.4,UPSC4,10S,669524,4387509,NA,L/M,
SC-10.7,UPSC3,10S,668992,4387029,NA,L/M,
SC-10.6,UPSC2,10S,668919,4386985,NA,L,
SC-10.1,UPSC1,10S,668444,4387304,NA,M,
SC-8.8,SCD20,10S,666915,4386562,NA,M,
SC-8.6,SCD19,10S,667076,4386397,NA,M,
SC-7.4,SCD18,10S,666815,4384981,NA,L/M,
SC-6.9,SCD17,10S,666629,4384446,NA,L,
SC-6.5,SCD16,10S,666777,4383696,NA,H,
SC-6.2,SCD15,10S,666570,4383586,NA,L/M,
SC-5.8,SCD14,10S,666503,4383060,NA,M,
SC-5.7,SCD13,10S,666613,4382857,NA,M,
SC-5.0,SCD12,10S,666478,4382147,NA,M,
SC-4.8,SCD11,10S,666472,4381827,NA,L,
SC-4.6,SCD10,10S,666545,4381496,NA,-,
SC-4.4,SCD9,10S,666432,4381271,NA,-,
SC-3.3,SCD8,10S,666203,4379802,NA,M-H,
SC-2.9,SCD7,10S,666396,4379357,NA,H,
SC-2.6,SCD6,10S,666178,4379043,NA,M-L,
SC-2.5,SCD5,10S,666089,4378893,NA,L,
SC-2.2,SCD4,10S,665820,4378513,NA,H,
SC-1.4,SCD3,10S,665671,4377499,NA,M,
SC-1.3,SCD2,10S,665326,4377418,NA,M-H,
SC-0.9,SCD1,10S,665235,4377024,NA,M,
Lost Creek Dam Reach,,,,,,,
LC-3.6,L9,10S,659411,4382170,NA,M/H,
LC-3.2,L8,10S,659320,4382200,NA,-,
LC-2.9,L7,10S,658657,4382190,NA,L,
LC-2.6,L6,10S,658378,4382016,NA,L,
LC-2.2,L5,10S,657918,4381910,NA,L,
LC-1.2,L4,10S,656804,4381203,NA,-,
LC-1.0,L3,10S,656757,4380969,NA,L,
LC-0.7,L2,10S,656257,4380816,NA,M/H,
LC-0.2,L1,10S,655626,4380726,NA,M/H,
PC-0.6,PC2,10S,659926,4384024,3394,,
PC-1.4,PC1,10S,660245,4384434,3529,,
