SiteID,WatershedC,Latitude,Longitude,YearDeploy,Ecoregions
AGCA1,AGCA,37.50239,-121.89534,2021,Central CA Foothills
AGCA2,AGCA,37.50606,-121.89375,2021,Central CA Foothills
ALBS1,ALBS,38.846813,-122.970375,2021,Central CA Foothills
ALBS2,ALBS,38.847875,-122.972919,2021,Central CA Foothills
ALBS3,ALBS,38.850141,-122.974035,2021,Central CA Foothills
ALBS4,ALBS,38.850985,-122.971938,2021,Central CA Foothills
ARDH1,ARDH,37.95228,-122.14219,2021,Central CA Foothills
ARDH2,ARDH,37.95961,-122.14066,2021,Central CA Foothills
ARDH3,ARDH,37.95363,-122.13963,2021,Central CA Foothills
ARDH4,ARDH,37.94617,-122.14289,2021,Central CA Foothills
EDSA1,EDSA,38.26089,-122.74394,2021,Central CA Foothills
EDSA4,EDSA,38.25421,-122.74121,2021,Central CA Foothills
KELS1,KELS,38.92423,-122.85902,2022,Central CA Foothills
KELS2,KELS,38.92082,-122.86121,2022,Central CA Foothills
KELS3,KELS,38.9188,-122.85628,2022,Central CA Foothills
KELS4,KELS,38.9192,-122.8518,2022,Central CA Foothills
LLSR1,LLSR,38.4244,-122.7826,2022,Central CA Foothills
LLSR2,LLSR,38.41906,-122.78929,2022,Central CA Foothills
LLSR3,LLSR,38.41988,-122.78215,2022,Central CA Foothills
LLSR4,LLSR,38.41879,-122.79613,2022,Central CA Foothills
LPEN1,LPEN,37.45975,-121.87176,2021,Central CA Foothills
LPEN2,LPEN,37.45707,-121.86929,2021,Central CA Foothills
MCFC1,MCFC,39.02304,-122.86105,2022,Central CA Foothills
MCFC2,MCFC,39.02422,-122.86482,2022,Central CA Foothills
MCFC3,MCFC,39.02464,-122.87199,2022,Central CA Foothills
MCFC4,MCFC,39.02084,-122.8646,2022,Central CA Foothills
MCPU1,MCPU,38.48864,-122.00855,2021,Central CA Foothills
MCPU2,MCPU,38.49,-122.02088,2021,Central CA Foothills
MCPU3,MCPU,38.48899,-122.01547,2021,Central CA Foothills
MCPU4,MCPU,38.48865,-122.01217,2021,Central CA Foothills
MOHO1,MOHO,37.70174,-121.61396,2021,Central CA Foothills
MOHO2,MOHO,37.69909,-121.61488,2021,Central CA Foothills
SALS2,SALS,36.9797,-121.73029,2022,Central CA Foothills
SALS3,SALS,36.98156,-121.7284,2022,Central CA Foothills
SATA2,SATA,37.2686,-121.99202,2022,Central CA Foothills
SATA3,SATA,37.25883,-121.99481,2022,Central CA Foothills
SFSB1,SFSB,37.78426,-122.14948,2021,Central CA Foothills
SFSB2,SFSB,37.78213,-122.14773,2021,Central CA Foothills
SHRU1,SHRU,39.2818,-123.18738,2021,Central CA Foothills
SHRU2,SHRU,39.28287,-123.18439,2021,Central CA Foothills
SHRU3,SHRU,39.28426,-123.18781,2021,Central CA Foothills
SHRU4,SHRU,39.27936,-123.19065,2021,Central CA Foothills
SMPI1,SMPI,39.48266,-122.97138,2022,Central CA Foothills
SMPI2,SMPI,39.48569,-122.97099,2022,Central CA Foothills
SMPI3,SMPI,39.48819,-122.97465,2022,Central CA Foothills
SMPI4,SMPI,39.49078,-122.97706,2022,Central CA Foothills
TFSP1,TFSP,38.22456,-122.52709,2022,Central CA Foothills
TFSP2,TFSP,38.22723,-122.52161,2022,Central CA Foothills
TFSP3,TFSP,38.21192,-122.54002,2022,Central CA Foothills
TFSP4,TFSP,38.222,-122.52354,2022,Central CA Foothills
THUR1,THUR,38.90108,-122.70581,2022,Central CA Foothills
THUR2,THUR,38.89142,-122.70096,2022,Central CA Foothills
THUR3,THUR,38.90216,-122.70885,2022,Central CA Foothills
THUR4,THUR,38.89335,-122.70305,2022,Central CA Foothills
UNAP1,UNAP,38.61,-122.60055,2021,Central CA Foothills
UNAP2,UNAP,38.60911,-122.59651,2021,Central CA Foothills
UNAP3,UNAP,38.60704,-122.5987,2021,Central CA Foothills
UNAP4,UNAP,38.61134,-122.59669,2021,Central CA Foothills
UNAV1,UNAV,39.120989,-123.528897,2021,Central CA Foothills
UNAV2,UNAV,39.123694,-123.527792,2021,Central CA Foothills
UNAV3,UNAV,39.12105,-123.519995,2021,Central CA Foothills
UNAV4,UNAV,39.118624,-123.520882,2021,Central CA Foothills
USRO1,USRO,38.49342,-122.58576,2021,Central CA Foothills
USRO2,USRO,38.49189,-122.59279,2021,Central CA Foothills
USRO3,USRO,38.49717,-122.58911,2021,Central CA Foothills
USRO4,USRO,38.49078,-122.58749,2021,Central CA Foothills
WOYU1,WOYU,39.28788,-121.19624,2022,Central CA Foothills
WOYU4,WOYU,39.29343,-121.19591,2022,Central CA Foothills
CLFE1,CLFE,39.08687,-121.58838,2022,Central Valley
CLFE2,CLFE,39.0837,-121.59575,2022,Central Valley
CLFE3,CLFE,39.08389,-121.59189,2022,Central Valley
CLFE4,CLFE,39.08868,-121.59824,2022,Central Valley
LLAG1,LLAG,38.29081,-121.21675,2022,Central Valley
LLAG2,LLAG,38.28855,-121.21848,2022,Central Valley
LLAG3,LLAG,38.28767,-121.22624,2022,Central Valley
LLAG4,LLAG,38.29471,-121.22186,2022,Central Valley
LLDR1,LLDR,38.27502,-121.1322,2022,Central Valley
LLDR2,LLDR,38.27783,-121.12739,2022,Central Valley
LLDR3,LLDR,38.2719,-121.13691,2022,Central Valley
LLDR4,LLDR,38.27762,-121.1323,2022,Central Valley
TRSC1,TRSC,38.44149,-121.65701,2021,Central Valley
TRSC2,TRSC,38.43484,-121.65677,2021,Central Valley
TRSC3,TRSC,38.43549,-121.66091,2021,Central Valley
TRSC4,TRSC,38.43896,-121.66087,2021,Central Valley
UOLD1,UOLD,37.78229,-121.40225,2021,Central Valley
UOLD3,UOLD,37.78015,-121.40399,2021,Central Valley
UOLD4,UOLD,37.7817,-121.39795,2021,Central Valley
WICO1,WICO,38.45533,-121.13032,2022,Central Valley
WICO2,WICO,38.45752,-121.1321,2022,Central Valley
WICO3,WICO,38.4609,-121.13863,2022,Central Valley
WICO4,WICO,38.45994,-121.1332,2022,Central Valley
DBRU3,DBRU,38.5448,-122.97995,2021,Coast Range
HOUS1,HOUS,38.65439,-123.257246,2021,Coast Range
HOUS2,HOUS,38.660416,-123.253424,2021,Coast Range
HOUS3,HOUS,38.658623,-123.257013,2021,Coast Range
HOUS4,HOUS,38.660914,-123.256516,2021,Coast Range
INDI1,INDI,39.081583,-123.380088,2021,Coast Range
INDI2,INDI,39.077528,-123.375152,2021,Coast Range
INDI3,INDI,39.081429,-123.375146,2021,Coast Range
INDI4,INDI,39.077527,-123.379138,2021,Coast Range
LOGA1,LOGA,37.20334,-122.00317,2022,Coast Range
LOGA2,LOGA,37.20083,-122.00274,2022,Coast Range
LOGA3,LOGA,37.20231,-122.00573,2022,Coast Range
LOGA4,LOGA,37.20109,-121.99865,2022,Coast Range
LPES1,LPES,37.2971,-122.29556,2021,Coast Range
LPES2,LPES,37.297057,-122.300308,2021,Coast Range
LPES3,LPES,37.29324,-122.29526,2021,Coast Range
LPES4,LPES,37.29189,-122.29316,2021,Coast Range
MILL1,MILL,38.57619,-122.9805,2021,Coast Range
MILL2,MILL,38.57488,-122.97636,2021,Coast Range
MILL3,MILL,38.57,-122.97651,2021,Coast Range
MILL4,MILL,38.57386,-122.97114,2021,Coast Range
NFNV1,NFNV,39.181189,-123.603968,2021,Coast Range
NFNV2,NFNV,39.183875,-123.599094,2021,Coast Range
NFNV3,NFNV,39.184055,-123.602129,2021,Coast Range
NFNV4,NFNV,39.186631,-123.5984536,2021,Coast Range
RW01,RW,40.09985,-123.90923,2022,Coast Range
RW02,RW,40.10553,-123.8985,2022,Coast Range
RW03,RW,40.10374,-123.89719,2022,Coast Range
RW04,RW,40.10544,-123.89338,2022,Coast Range
RW05,RW,40.10445,-123.90059,2022,Coast Range
RW07,RW,40.11118,-123.88749,2022,Coast Range
RW08,RW,40.11739,-123.88233,2022,Coast Range
RW09,RW,40.11975,-123.88053,2022,Coast Range
RW10,RW,40.10538,-123.88851,2022,Coast Range
