d13C,d15N,species_model,site_model
-15.77638873,16.50183733,1,3
-15.4594639,16.0850555,1,3
-15.82068042,15.94182068,1,3
-16.00027406,16.03641259,1,3
-16.32336435,14.79656203,1,3
-16.21704353,16.43007336,1,3
-16.1790644,16.90160535,1,3
-15.92773804,16.74151438,1,3
-16.75626416,15.61219751,1,3
-17.67883457,15.67764859,1,3
-17.8461265,15.64080966,1,3
-17.93246553,15.38834377,1,3
-16.1746096,14.89292033,1,3
-16.28369886,15.39280672,1,3
-16.15969631,15.80645001,1,3
-15.87455049,16.00738484,1,3
-16.38828567,15.6583424,1,3
-15.54622944,16.21664211,1,3
-15.23736005,16.28416093,1,3
-15.65947147,15.88049843,1,3
-16.28132815,15.1950629,1,3
-16.6711036,14.83807799,1,3
-16.62644185,14.52922972,1,3
-16.70743455,13.97076922,1,3
-16.69328181,14.34295514,1,3
-16.39749355,14.77336452,1,3
-16.8614432,14.84522119,1,3
-16.48349267,14.54921998,1,3
-16.26744134,15.46470158,1,3
-16.22160025,15.61024725,1,3
-16.47313132,15.34509918,1,3
-16.68539052,15.11552133,1,3
-16.70709948,14.91411185,1,3
-16.57351708,14.62385667,1,3
-16.39774645,14.29109013,1,3
-16.50816008,15.37220576,1,3
-16.69617355,14.84664538,1,3
-16.65449551,15.72640147,1,3
-16.67240887,14.43531934,1,3
-17.1182077,13.67116748,1,3
-15.65640945,16.48893225,1,3
-15.65211628,16.35331067,1,3
-15.86196947,15.43166243,1,3
-16.40501679,16.05464694,1,3
-15.6157247,16.12558432,1,3
-15.33176399,15.77118351,1,3
-16.47301902,14.81285507,1,3
-16.08745257,15.10906278,1,3
-16.47093131,15.42334592,1,3
-16.55029293,14.26793593,1,3
-15.99100279,15.03615476,1,3
-16.08264216,14.87514277,1,3
-16.24186304,15.45998337,1,3
-15.67795513,16.1761007,1,3
-15.64292586,16.18379541,1,3
-15.85956952,15.60448554,1,3
-16.11387726,15.42069293,1,3
-15.79335266,16.35171163,1,3
-15.81955339,16.36701902,1,3
-17.02445566,14.21974014,1,3
-17.15584587,13.972649,1,3
-16.85673536,13.81321788,1,3
-16.46719023,14.15422449,1,3
-16.40084709,14.9786414,1,3
-16.44075522,14.68081024,1,3
-15.96720956,14.8009304,1,3
-16.18650653,15.55283703,1,3
-16.49042986,14.60165197,1,3
-16.87552819,13.82578492,1,3
-16.44833426,14.39442058,1,3
-16.57972621,14.27576288,1,3
-15.80245329,15.62360628,1,3
-15.61943901,16.15117531,1,3
-16.24127503,15.84958348,1,3
-15.74695229,15.23539238,1,3
-15.475665,16.28603774,1,3
-15.1922202,16.37560794,1,3
-15.41366489,15.76317574,1,3
-16.27198769,14.9610736,1,3
-16.09331268,15.5427862,1,3
-16.2216227,15.63117717,1,3
-16.18111316,15.2368064,1,3
-16.5000616,15.28031712,1,3
-16.07136497,15.68697016,1,3
-16.22675798,15.4766022,1,3
-15.88580887,15.07456831,1,3
-15.81536154,16.15141172,1,3
-15.72667452,16.09805728,1,3
-15.17998351,15.51452963,1,3
-16.59124579,15.06219725,1,3
-16.65784098,15.22500103,1,3
-16.55141354,15.77539061,1,3
-16.98391859,15.8560359,1,3
-17.46738628,15.47664407,1,3
-17.83233409,15.13924262,1,3
-15.82469245,15.83811936,1,3
-16.61064066,15.04688023,1,3
-16.60152557,15.12715229,1,3
-16.72302592,15.13291215,1,3
-16.73892858,15.15072567,1,3
-16.43181024,14.81296102,1,3
-15.74188421,15.7052617,1,3
-15.63629307,15.53631906,1,3
